"Index"	"country"	"country_code"	"1950-1955"	"1955-1960"	"1960-1965"	"1965-1970"	"1970-1975"	"1975-1980"	"1980-1985"	"1985-1990"	"1990-1995"	"1995-2000"	"2000-2005"	"2005-2010"
83	"Iran (Islamic Republic of)"	364	44.87	47.16	49.33	52.41	55.13	58.1	60.7	64.25	67.08	69.33	71.2	72.66
84	"Kazakhstan"	398	60.6	62.64	64.67	66.71	68.24	69.28	70.86	72.1	70.3	68.94	70.42	71.24
85	"Kyrgyzstan"	417	57.25	59.39	61.54	63.68	65.32	66.46	68.11	69.8	70.13	69.96	70.58	71.56
86	"Maldives"	462	37.6	40.73	43.85	46.98	50.1	53.23	55.78	58.28	61.3	65.1	69.7	72.89
87	"Nepal"	524	35.54	37.29	39.21	41.41	43.69	46.48	49.31	52.18	55.4	59.87	64.01	67.18
88	"Pakistan"	586	45.25	47.42	49.88	52.85	54.96	57.03	58.38	59.95	61.84	63.58	65.14	66.69
89	"Sri Lanka"	144	55.42	59.24	61.22	63.32	66.13	68.37	71.77	72.26	73.38	72.81	77.17	77.8
90	"Tajikistan"	762	55.65	57.65	59.65	61.65	63.15	64.15	65.33	66.23	65.94	66.95	68.59	69.36
91	"Turkmenistan"	795	55.05	57.09	59.12	61.16	62.69	63.73	65.26	66.25	66.6	67.51	68.19	68.91
92	"Uzbekistan"	860	59.45	61.48	63.51	65.54	67.06	68.09	69.62	70.45	69.41	69.98	70.41	70.9
93	"South-Eastern Asia"	920	42.11	45.18	48.1	51.33	54.24	57.3	61.19	64.25	66.62	68.92	70.8	72.26
94	"Brunei Darussalam"	96	61.13	62	63.5	66	69.93	71.43	73.6	75.33	77.1	78.1	78.9	79.7
95	"Cambodia"	116	40.8	42.8	44.9	46.9	41.7	32.5	52.33	55.54	57.23	58.26	59.99	62.61
96	"Indonesia"	360	38.1	40.7	43.4	47	50.5	54	58	62	64.54	67.9	70.45	72.65
97	"Lao People's Democratic Republic"	418	44.34	45.25	46.18	47.08	48.03	49.28	51.03	53.73	57.55	60.85	63.53	66.19
98	"Malaysia"	458	50	53.68	57.35	61.02	64.7	67.1	70	71.6	73.05	74.53	75.46	76.7
99	"Myanmar"	104	37.67	43.44	46.84	51.35	55.23	58.41	60.25	60.61	61	61.5	62.5	63.4
100	"Philippines"	608	49.55	53.12	56.68	58.3	59.86	61.98	64.22	66.36	68.7	70.66	72.53	73.98
101	"Singapore"	702	62.05	64.91	67.57	69.99	71.8	73.1	74.57	76.18	78.32	79.29	80.78	82.82
102	"Thailand"	764	53.51	55.37	57.71	60.31	63.32	66.6	70.67	72.61	72.96	73.1	72.81	72.02
103	"Timor-Leste"	626	30.4	33.08	35.6	38.14	40.74	32.5	40.7	44.07	49.42	54.65	59	61.72
104	"Viet Nam"	704	41.8	44.6	47.4	50.2	53.1	58.1	61.18	64.9	69.64	72.39	74.88	76.21
105	"Western Asia"	922	46.38	50.09	53.49	56.25	59.18	61.99	64.42	67.03	69.33	71.2	72.69	73.62
106	"Armenia"	51	65.9	67.97	70.04	72.11	73.59	73.51	73.78	70.7	71.5	73.08	75.6	76.74
107	"Azerbaijan"	31	61.5	63.5	65.5	67.5	69	68.7	68.6	69.75	69.66	69.74	71.17	72.47
108	"Bahrain"	48	52.5	55.5	58.7	61.8	65.43	67.8	71.45	73.15	74.8	75.8	76.52	77.47
